,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Birthrate,Deathrate
189,South Africa ,ÁFRICA,44187637,1219912,36.2,-0.29,61.81,10700.0,86.4,107.0,18.2,22.0
190,Spain ,EUROPA OCIDENTAL,40397842,504782,80.0,0.99,4.42,22000.0,97.9,453.5,10.06,9.72
191,Sri Lanka ,ÁSIA,20222240,65610,308.2,-1.31,14.35,3700.0,92.3,61.5,15.51,6.52
192,Sudan ,ÁFRICA,41236378,2505810,16.5,-0.02,62.5,1900.0,61.1,16.3,34.53,8.97
193,Suriname ,AMÉRICA LATINA,439117,163270,2.7,-8.81,23.57,4000.0,93.0,184.7,18.02,7.27
194,Swaziland ,ÁFRICA,1136334,17363,65.5,0.0,69.27,4900.0,81.6,30.8,27.41,29.74
195,Sweden ,EUROPA OCIDENTAL,9016596,449964,20.0,1.67,2.77,26800.0,99.0,715.0,10.27,10.31
196,Switzerland ,EUROPA OCIDENTAL,7523934,41290,182.2,4.05,4.39,32700.0,99.0,680.9,9.71,8.49
197,Syria ,ORIENTE MÉDIO,18881361,185180,102.0,0.0,29.53,3300.0,76.9,153.8,27.76,4.81
198,Taiwan ,ÁSIA,23036087,35980,640.3,0.0,6.4,23400.0,96.1,591.0,12.56,6.48
199,Tajikistan ,EURÀSIA,7320815,143100,51.2,-2.86,110.76,1000.0,99.4,33.5,32.65,8.25
200,Tanzania ,ÁFRICA,37445392,945087,39.6,-2.06,98.54,600.0,78.2,4.0,37.71,16.39
201,Thailand ,ÁSIA,64631595,514000,125.7,0.0,20.48,7400.0,92.6,108.9,13.87,7.04
202,Togo ,ÁFRICA,5548702,56785,97.7,0.0,66.61,1500.0,60.9,10.6,37.01,9.83
203,Tonga ,OCEANIA,114689,748,153.3,0.0,12.62,2200.0,98.5,97.7,25.37,5.28
204,Trinidad & Tobago ,AMÉRICA LATINA,1065842,5128,207.9,-10.83,24.31,9500.0,98.6,303.5,12.9,10.57
205,Tunisia ,ÁFRICA,10175014,163610,62.2,-0.57,24.77,6900.0,74.2,123.6,15.52,5.13
206,Turkey ,ORIENTE MÉDIO,70413958,780580,90.2,0.0,41.04,6700.0,86.5,269.5,16.62,5.97
207,Turkmenistan ,EURÀSIA,5042920,488100,10.3,-0.86,73.08,5800.0,98.0,74.6,27.61,8.6
208,Turks & Caicos Is ,AMÉRICA LATINA,21152,430,49.2,11.68,15.67,9600.0,98.0,269.5,21.84,4.21
210,Uganda ,ÁFRICA,28195754,236040,119.5,0.0,67.83,1400.0,69.9,3.6,47.35,12.24
211,Ukraine ,EURÀSIA,46710816,603700,77.4,-0.39,20.34,5400.0,99.7,259.9,8.82,14.39
212,United Arab Emirates ,ORIENTE MÉDIO,2602713,82880,31.4,1.03,14.51,23200.0,77.9,475.3,18.96,4.4
213,United Kingdom ,EUROPA OCIDENTAL,60609153,244820,247.6,2.19,5.16,27700.0,99.0,543.5,10.71,10.13
214,United States ,AMÉRICA DO NORTE,298444215,9631420,31.0,3.41,6.5,37800.0,97.0,898.0,14.14,8.26
215,Uruguay ,AMÉRICA LATINA,3431932,176220,19.5,-0.32,11.95,12800.0,98.0,291.4,13.91,9.05
216,Uzbekistan ,EURÀSIA,27307134,447400,61.0,-1.72,71.1,1700.0,99.3,62.9,26.36,7.84
217,Vanuatu ,OCEANIA,208869,12200,17.1,0.0,55.16,2900.0,53.0,32.6,22.72,7.82
218,Venezuela ,AMÉRICA LATINA,25730435,912050,28.2,-0.04,22.2,4800.0,93.4,140.1,18.71,4.92
219,Vietnam ,ÁSIA,84402966,329560,256.1,-0.45,25.95,2500.0,90.3,187.7,16.86,6.22
224,Yemen ,ORIENTE MÉDIO,21456188,527970,40.6,0.0,61.5,800.0,50.2,37.2,42.89,8.3
225,Zambia ,ÁFRICA,11502010,752614,15.3,0.0,88.29,800.0,80.6,8.2,41.0,19.93
226,Zimbabwe ,ÁFRICA,12236805,390580,31.3,0.0,67.69,1900.0,90.7,26.8,28.01,21.84
